"Philippine Total Trade, Imports, Exports, and Balance of Trade in Goods by Month and Year: 1991-2024P"

"Year","Month","Exports","Imports"
"2007","Aug",4121.45,4986.61
"2007","Sep",4389.38,4743.80
"2007","Oct",4659.53,5150.65
"2007","Nov",3964.81,5084.21
"2007","Dec",4481.90,5000.63
"2007","Total",50465.72,55513.74
"2008","Jan",4230.56,4995.76
"2008","Feb",4112.01,4491.46
"2008","Mar",4200.13,5123.01
"2008","Apr",4327.48,4856.96
"2008","May",4225.38,4775.68
"2008","Jun",4527.02,5322.25
"2008","Jul",4437.23,5882.36
"2008","Aug",4394.50,5044.11
"2008","Sep",4445.62,4891.09
"2008","Oct",3990.06,4577.74
"2008","Nov",3512.97,3484.68
"2008","Dec",2674.58,3300.96
"2008","Total",49077.54,56746.06
"2009","Jan",2512.96,3269.94
"2009","Feb",2506.32,3058.78
"2009","Mar",2906.75,3269.83
"2009","Apr",2803.77,3057.23
"2009","May",3088.03,3616.59
"2009","Jun",3406.91,4106.94
"2009","Jul",3313.36,4025.96
"2009","Aug",3472.89,3617.29
"2009","Sep",3637.64,3669.91
"2009","Oct",3748.09,3808.29
"2009","Nov",3717.83,3654.51
"2009","Dec",3321.24,3936.26
"2009","Total",38435.81,43091.54
"2010","Jan",3579.44,4310.26
"2010","Feb",3570.23,3906.25
"2010","Mar",4181.80,4555.82
"2010","Apr",3611.61,4568.36
"2010","May",4241.42,4811.76
"2010","Jun",4556.73,4224.95
"2010","Jul",4505.19,4687.77
"2010","Aug",4774.45,4461.16
"2010","Sep",5340.85,4597.22
"2010","Oct",4788.45,4904.46
"2010","Nov",4146.07,4955.78
"2010","Dec",4201.28,4949.14
"2010","Total",51497.51,54932.92
"2011","Jan",4001.93,5302.44
"2011","Feb",3927.75,4876.58
"2011","Mar",4356.35,5552.51
"2011","Apr",4306.44,5525.44
"2011","May",4118.69,4892.57
"2011","Jun",4134.78,4503.90
"2011","Jul",4460.27,5001.32
"2011","Aug",4172.90,5076.38
"2011","Sep",3896.95,5082.89
"2011","Oct",4155.66,5024.49
"2011","Nov",3366.03,5024.01
"2011","Dec",3407.16,4633.32
"2011","Total",48304.93,60495.84
"2012","Jan",4123.42,5139.40
"2012","Feb",4430.45,4998.18
"2012","Mar",4324.62,5371.48
"2012","Apr",4635.17,4788.12
"2012","May",4931.60,5385.84
"2012","Jun",4314.23,5103.03
"2012","Jul",4727.39,5047.28
"2012","Aug",3809.98,5183.83
"2012","Sep",4810.80,5326.59
"2012","Oct",4410.11,5276.86
"2012","Nov",3611.01,5207.74
"2012","Dec",3970.75,5300.32
"2012","Total",52099.52,62128.66
"2013","Jan",4514.31,4776.90
"2013","Feb",4174.32,4707.71
"2013","Mar",4698.59,4951.87
"2013","Apr",4506.50,5153.25
"2013","May",5131.34,5272.10
"2013","Jun",4490.20,4889.69
"2013","Jul",4858.79,5494.15
"2013","Aug",4956.02,5563.84
"2013","Sep",5056.21,5719.19
"2013","Oct",5026.67,4844.03
"2013","Nov",4324.99,5592.57
"2013","Dec",4959.93,5445.26
"2013","Total",56697.86,62410.57
"2014","Jan",4357.47,6006.12
"2014","Feb",4650.95,4855.79
"2014","Mar",5268.41,5485.68
"2014","Apr",4563.49,5365.82
"2014","May",5931.59,5068.88
"2014","Jun",5461.54,4828.71
"2014","Jul",5425.48,5564.43
"2014","Aug",5471.23,5844.51
"2014","Sep",5846.06,5782.74
"2014","Oct",5148.21,5589.32
"2014","Nov",5174.90,5536.25
"2014","Dec",4802.28,5469.75
"2014","Total",62101.62,65397.98
"2015","Jan",4356.78,5662.73
"2015","Feb",4513.40,5734.54
"2015","Mar",5434.17,5691.35
"2015","Apr",4434.03,5052.99
"2015","May",4899.37,4834.42
"2015","Jun",5363.96,5940.76
"2015","Jul",5370.52,6845.66
"2015","Aug",5127.93,6175.98
"2015","Sep",4959.51,6255.01
"2015","Oct",4590.26,6534.11
"2015","Nov",5117.78,6094.66
"2015","Dec",4659.51,6245.02
"2015","Total",58827.24,71067.23
"2016","Jan",4255.49,6825.21
"2016","Feb",4361.92,5651.64
"2016","Mar",4730.01,6678.28
"2016","Apr",4284.87,6864.59
"2016","May",4828.35,7067.86
"2016","Jun",4872.90,7243.66
"2016","Jul",4786.91,7159.42
"2016","Aug",5036.07,7165.89
"2016","Sep",5361.57,7381.22
"2016","Oct",5036.08,7260.09
"2016","Nov",4886.88,7377.52
"2016","Dec",4965.05,7432.67
"2016","Total",57406.12,84108.04
"2017","Jan",5597.12,7926.01
"2017","Feb",5156.30,6825.96
"2017","Mar",6003.05,8107.13
"2017","Apr",5587.11,7140.82
"2017","May",5987.55,8494.95
"2017","Jun",5704.04,7289.68
"2017","Jul",5833.61,7138.89
"2017","Aug",5978.83,8715.34
"2017","Sep",5985.71,7737.89
"2017","Oct",5912.65,8497.79
"2017","Nov",5582.90,8862.53
"2017","Dec",5384.03,9356.25
"2017","Total",68712.90,96093.24
"2018","Jan",5656.21,8882.70
"2018","Feb",5225.71,7762.25
"2018","Mar",6024.47,8364.28
"2018","Apr",5481.97,9180.81
"2018","May",6091.89,9972.39
"2018","Jun",5916.49,9469.46
"2018","Jul",5966.51,9982.73
"2018","Aug",6216.23,9814.79
"2018","Sep",6052.78,10076.42
"2018","Oct",6308.84,10724.29
"2018","Nov",5636.46,9710.64
"2018","Dec",4729.85,8900.09
"2018","Total",69307.43,112840.85
"2019","Jan",5293.10,9565.31
"2019","Feb",5251.62,7984.95
"2019","Mar",6030.80,9365.80
"2019","Apr",5652.23,9451.19
"2019","May",6199.69,9848.90
"2019","Jun",6149.83,8785.68
"2019","Jul",6252.11,9893.35
"2019","Aug",6302.58,9307.45
"2019","Sep",6079.81,9488.56
"2019","Oct",6341.73,9914.28
"2019","Nov",5622.87,9275.21
"2019","Dec",5750.62,8712.41
"2019","Total",70926.98,111593.08
"2020","Jan",5801.89,9556.69
"2020","Feb",5432.17,7400.35
"2020","Mar",5079.05,7804.99
"2020","Apr",3319.97,3507.07
"2020","May",4541.51,5855.19
"2020","Jun",5531.67,6955.79
"2020","Jul",5698.73,7833.60
"2020","Aug",5499.62,7679.40
"2020","Sep",6286.06,8552.49
"2020","Oct",6287.05,8335.45
"2020","Nov",5882.74,8026.77
"2020","Dec",5854.06,8303.75
"2020","Total",65214.52,89811.54
"2021","Jan",5549.40,8424.81
"2021","Feb",5358.48,8064.45
"2021","Mar",6779.04,9533.14
"2021","Apr",5784.51,8878.68
"2021","May",5943.04,9121.64
"2021","Jun",6578.17,9906.89
"2021","Jul",6487.15,9991.04
"2021","Aug",6541.29,9850.62
"2021","Sep",6691.76,10499.42
"2021","Oct",6420.43,10234.67
"2021","Nov",6278.24,10984.18
"2021","Dec",6281.60,11395.68
"2021","Total",74693.11,116885.21
"2022","Jan",6082.16,10559.01
"2022","Feb",6249.09,10185.73
"2022","Mar",7305.01,11768.49
"2022","Apr",6167.58,11462.84
"2022","May",6355.77,11879.48
"2022","Jun",6741.31,12521.68
"2022","Jul",6240.31,12215.00
"2022","Aug",6461.89,12455.33
"2022","Sep",7249.23,12011.51
"2022","Oct",7745.59,11024.21
"2022","Nov",7165.60,10817.61
"2022","Dec",5810.57,10320.21
"2022","Total",79574.11,137221.11
"2023","Jan",5441.87,10997.87
"2023","Feb",5103.31,8983.78
"2023","Mar",6613.63,11631.81
"2023","Apr",4916.14,9748.47
"2023","May",6530.25,10932.62
"2023","Jun",6730.74,10667.01
"2023","Jul",6245.73,10370.22
"2023","Aug",6729.64,10834.74
"2023","Sep",6771.93,10320.24
"2023","Oct",6518.43,10759.41
"2023","Nov",6231.07,11000.53
"2023","Dec",5784.38,9962.50
"2023","Total",73617.12,126209.20
"2024","Jan",5984.70,10339.82
"2024","Feb",6013.68,9569.39
"2024","Mar",6223.32,9572.80
"2024","Apr",6288.30,11017.02
"2024","May",6330.92,11063.88
"2024","Jun",5567.36,9890.82
"2024","Jul",6248.93,11117.80
"2024","Aug",..,..
"2024","Sep",..,..
"2024","Oct",..,..
"2024","Nov",..,..
"2024","Dec",..,..
"2024","Total",42657.21,72571.52
